,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
0,100110,0,Male,"{'Male': 0.9920753841150352, 'Female': 0.007924615884964818}",30-39,"{'0-2': 3.4232753184749175e-05, '3-9': 0.00017379815816723966, '10-19': 0.0021439621470912265, '20-29': 0.21894025598707773, '30-39': 0.5999522381532566, '40-49': 0.125298187969143, '50-59': 0.037150978027099366, '60-69': 0.01627143727870209, 'more than 70': 3.490952627792444e-05}",Up to 50,"{'Over 50': 0.05345732483207938, 'Up to 50': 0.9465426751679205}",Up to 50
1,100575,0,Female,"{'Male': 0.010963938539222284, 'Female': 0.9890360614607777}",20-29,"{'0-2': 0.00012895599167318044, '3-9': 0.005657589851426657, '10-19': 0.16976164836853053, '20-29': 0.6007172942761116, '30-39': 0.19757501348544612, '40-49': 0.020144229761247048, '50-59': 0.005122127525956715, '60-69': 0.0008824316093475458, 'more than 70': 1.0709130260527119e-05}",Up to 50,"{'Over 50': 0.006015268265564788, 'Up to 50': 0.9939847317344352}",Up to 50
2,100595,0,Female,"{'Male': 0.004731579353561055, 'Female': 0.995268420646439}",10-19,"{'0-2': 6.599179871213481e-05, '3-9': 0.21119380590143674, '10-19': 0.75942976951538, '20-29': 0.027403783033503264, '30-39': 0.0018256512287958089, '40-49': 7.106341129585974e-05, '50-59': 7.711355149499085e-06, '60-69': 2.213143156395156e-06, 'more than 70': 1.0612570396612559e-08}",Up to 50,"{'Over 50': 9.935110876290853e-06, 'Up to 50': 0.9999900648891238}",Up to 50
3,100600,0,Female,"{'Male': 0.003922197092231738, 'Female': 0.9960778029077683}",10-19,"{'0-2': 6.119585866452785e-05, '3-9': 0.01356711230791239, '10-19': 0.5040333803691404, '20-29': 0.40960683585245794, '30-39': 0.06851849840392855, '40-49': 0.0034883385816617536, '50-59': 0.0006277610610270973, '60-69': 9.631551918475305e-05, 'more than 70': 5.620460226799336e-07}",Up to 50,"{'Over 50': 0.0007246386262345304, 'Up to 50': 0.9992753613737655}",Up to 50
4,100625,0,Female,"{'Male': 0.0022868266729261233, 'Female': 0.9977131733270739}",20-29,"{'0-2': 0.00011796324374731946, '3-9': 0.004875708025843495, '10-19': 0.11813864937638002, '20-29': 0.6319452087165239, '30-39': 0.2317426796187349, '40-49': 0.012263757719535862, '50-59': 0.0008703211063412115, '60-69': 4.568798026547931e-05, 'more than 70': 2.4212627816768764e-08}",Up to 50,"{'Over 50': 0.0009160332992345076, 'Up to 50': 0.9990839667007656}",Up to 50
5,100630,0,Female,"{'Male': 0.004250733977183119, 'Female': 0.9957492660228169}",20-29,"{'0-2': 1.761791929880898e-05, '3-9': 0.012885477634213624, '10-19': 0.386134370752881, '20-29': 0.470854202903507, '30-39': 0.11852310450712641, '40-49': 0.009387176997763709, '50-59': 0.001993108785791482, '60-69': 0.00020423095333209088, 'more than 70': 7.095460857386729e-07}",Up to 50,"{'Over 50': 0.0021980492852093116, 'Up to 50': 0.9978019507147905}",Up to 50
6,100690,0,Male,"{'Male': 0.9877375009661318, 'Female': 0.012262499033868182}",30-39,"{'0-2': 0.0005824371925824733, '3-9': 0.0009221594596669981, '10-19': 0.002057180046651268, '20-29': 0.2726497689908755, '30-39': 0.6007737650076945, '40-49': 0.10540334659320452, '50-59': 0.015112620478702363, '60-69': 0.0024452436176695294, 'more than 70': 5.347861295274369e-05}",Up to 50,"{'Over 50': 0.017611342709324636, 'Up to 50': 0.9823886572906753}",Up to 50
7,100695,0,Male,"{'Male': 0.9896930752525812, 'Female': 0.010306924747418759}",30-39,"{'0-2': 0.0003910063058500873, '3-9': 0.0011566058499628004, '10-19': 0.003619693203297149, '20-29': 0.30092521997139854, '30-39': 0.5582639229383998, '40-49': 0.09519717210466451, '50-59': 0.029239457925498723, '60-69': 0.01101565497473172, 'more than 70': 0.00019126672619672387}",Up to 50,"{'Over 50': 0.040446379626427165, 'Up to 50': 0.9595536203735728}",Up to 50
8,100700,0,Male,"{'Male': 0.9886990368641628, 'Female': 0.011300963135837222}",30-39,"{'0-2': 2.101473846352614e-05, '3-9': 0.0002258679614106954, '10-19': 0.000511618365638172, '20-29': 0.06724321105247826, '30-39': 0.4606646752306967, '40-49': 0.31916978791613215, '50-59': 0.12031052368507504, '60-69': 0.03175623882766373, 'more than 70': 9.706222244164108e-05}",Up to 50,"{'Over 50': 0.1521638247351804, 'Up to 50': 0.8478361752648195}",Up to 50
9,101915,0,Female,"{'Male': 0.005493315548579902, 'Female': 0.9945066844514201}",10-19,"{'0-2': 0.0005333975852760696, '3-9': 0.258224147858786, '10-19': 0.6109572576618456, '20-29': 0.11170321913849098, '30-39': 0.017650224420900397, '40-49': 0.0007740488040695929, '50-59': 9.31283157713819e-05, '60-69': 6.395621654478602e-05, 'more than 70': 6.199983152700527e-07}",Up to 50,"{'Over 50': 0.00015770453063143798, 'Up to 50': 0.9998422954693686}",Up to 50
10,102175,0,Male,"{'Male': 0.7171674843705051, 'Female': 0.28283251562949485}",30-39,"{'0-2': 0.00015158115276751028, '3-9': 0.00591460238934777, '10-19': 0.010208577096966237, '20-29': 0.16853737708750294, '30-39': 0.33166680178981106, '40-49': 0.19270970409431223, '50-59': 0.18007762597786753, '60-69': 0.1088027643788275, 'more than 70': 0.0019309660325972128}",Up to 50,"{'Over 50': 0.29081135638929223, 'Up to 50': 0.7091886436107078}",Up to 50
11,102180,0,Male,"{'Male': 0.9428875161967954, 'Female': 0.057112483803204564}",50-59,"{'0-2': 0.0005724915110822348, '3-9': 0.00016254849266973264, '10-19': 0.00037967325517742565, '20-29': 0.030025880936403262, '30-39': 0.2058445608170072, '40-49': 0.19324258094446617, '50-59': 0.44422738040346577, '60-69': 0.12421016968364304, 'more than 70': 0.0013347139560853714}",Over 50,"{'Over 50': 0.5697722640431943, 'Up to 50': 0.430227735956806}",Over 50
12,102275,0,Male,"{'Male': 0.9800152147565426, 'Female': 0.019984785243457398}",30-39,"{'0-2': 0.0005657861169359721, '3-9': 0.001043241968325436, '10-19': 0.0027250228750073484, '20-29': 0.1960548326068662, '30-39': 0.6562238949531553, '40-49': 0.11089531982720874, '50-59': 0.028458270933672793, '60-69': 0.004016910055133264, 'more than 70': 1.6720663695055155e-05}",Up to 50,"{'Over 50': 0.03249190165250111, 'Up to 50': 0.9675080983474988}",Up to 50
13,102285,0,Male,"{'Male': 0.9769985674073455, 'Female': 0.023001432592654514}",30-39,"{'0-2': 0.00046885546994225645, '3-9': 0.0008668103466363264, '10-19': 0.004797552670347537, '20-29': 0.21600540858858674, '30-39': 0.6358964453700698, '40-49': 0.11138620227814751, '50-59': 0.023110401671259242, '60-69': 0.0074424438679407765, 'more than 70': 2.5879737069689666e-05}",Up to 50,"{'Over 50': 0.03057872527626971, 'Up to 50': 0.9694212747237303}",Up to 50
