,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
0,100040,0,Female,"{'Male': 0.039918960037033546, 'Female': 0.9600810399629665}",30-39,"{'0-2': 0.0032825277920611236, '3-9': 0.008678441483168991, '10-19': 0.02022769875100103, '20-29': 0.3789174931056265, '30-39': 0.49709730216942716, '40-49': 0.08507467394163301, '50-59': 0.006121221221300898, '60-69': 0.00032814365219337405, 'more than 70': 0.00027249788358776477}",Up to 50,"{'Over 50': 0.006721862757082037, 'Up to 50': 0.9932781372429178}",Up to 50
1,100225,0,Female,"{'Male': 0.014457957304745084, 'Female': 0.9855420426952549}",30-39,"{'0-2': 0.0001728617872452927, '3-9': 0.0024217900244110683, '10-19': 0.015109695354041157, '20-29': 0.1491235323426255, '30-39': 0.379345585137742, '40-49': 0.304480248530052, '50-59': 0.1387369940251953, '60-69': 0.009858061852030664, 'more than 70': 0.0007512309466570673}",Up to 50,"{'Over 50': 0.14934628682388304, 'Up to 50': 0.8506537131761169}",Up to 50
2,100230,0,Female,"{'Male': 0.027839122571421515, 'Female': 0.9721608774285785}",30-39,"{'0-2': 0.001729310273608226, '3-9': 0.003923667821662585, '10-19': 0.017622064618483566, '20-29': 0.20029634111552305, '30-39': 0.3355384935542596, '40-49': 0.2490106035640812, '50-59': 0.1637371185168344, '60-69': 0.026872000007421463, 'more than 70': 0.0012704005281258008}",Up to 50,"{'Over 50': 0.19187951905238165, 'Up to 50': 0.8081204809476182}",Up to 50
3,100470,0,Male,"{'Male': 0.9139669691498848, 'Female': 0.08603303085011517}",20-29,"{'0-2': 0.0016332533425590901, '3-9': 0.00237901768335887, '10-19': 0.12277198336002818, '20-29': 0.6313877900819382, '30-39': 0.21595889836053378, '40-49': 0.02365123504862405, '50-59': 0.0016686915055456567, '60-69': 0.0005468852820674025, 'more than 70': 2.2453353447434508e-06}",Up to 50,"{'Over 50': 0.0022178221229578027, 'Up to 50': 0.9977821778770423}",Up to 50
4,100850,0,Male,"{'Male': 0.9547392079465632, 'Female': 0.04526079205343683}",20-29,"{'0-2': 0.0005742533346781792, '3-9': 0.0027359822686694535, '10-19': 0.03237872423856673, '20-29': 0.4543631402078866, '30-39': 0.4314117315749801, '40-49': 0.06139035768005705, '50-59': 0.013791052395409469, '60-69': 0.003300976824162506, 'more than 70': 5.378147558992047e-05}",Up to 50,"{'Over 50': 0.017145810695161894, 'Up to 50': 0.982854189304838}",Up to 50
5,100855,0,Male,"{'Male': 0.9589462869624976, 'Female': 0.04105371303750234}",20-29,"{'0-2': 0.0019484952174395952, '3-9': 0.020009761890151877, '10-19': 0.18557606630490617, '20-29': 0.5884708718517462, '30-39': 0.17427344386863855, '40-49': 0.02752275336055104, '50-59': 0.0019448368308229002, '60-69': 0.0002469119109785921, 'more than 70': 6.858764765017509e-06}",Up to 50,"{'Over 50': 0.0021986075065665097, 'Up to 50': 0.9978013924934334}",Up to 50
6,100990,0,Female,"{'Male': 0.03330061573314158, 'Female': 0.9666993842668584}",30-39,"{'0-2': 0.00012618614303305155, '3-9': 0.0007334096961822893, '10-19': 0.007519082123300548, '20-29': 0.12132346789172607, '30-39': 0.3337401387609248, '40-49': 0.28506534656089755, '50-59': 0.2168738570394423, '60-69': 0.03121441379237345, 'more than 70': 0.0034040979921198555}",Up to 50,"{'Over 50': 0.2514923688239356, 'Up to 50': 0.7485076311760643}",Up to 50
7,101460,0,Female,"{'Male': 0.034698894724353724, 'Female': 0.9653011052756463}",20-29,"{'0-2': 0.00037126661480062234, '3-9': 0.024242789942343017, '10-19': 0.04736485807015516, '20-29': 0.500707917818446, '30-39': 0.368565765531844, '40-49': 0.05421626316093296, '50-59': 0.0037044928924470665, '60-69': 0.000669883294729279, 'more than 70': 0.00015676267430190157}",Up to 50,"{'Over 50': 0.004531138861478247, 'Up to 50': 0.9954688611385217}",Up to 50
8,101465,0,Female,"{'Male': 0.012115899309273925, 'Female': 0.9878841006907261}",20-29,"{'0-2': 0.00010272095556073429, '3-9': 0.003929017378846667, '10-19': 0.021370677324055266, '20-29': 0.5055847892878514, '30-39': 0.4355506200963898, '40-49': 0.03244687680153992, '50-59': 0.0009408963887692848, '60-69': 6.369678834631222e-05, 'more than 70': 1.0704978640623046e-05}",Up to 50,"{'Over 50': 0.00101529815575622, 'Up to 50': 0.9989847018442438}",Up to 50
9,102500,0,Male,"{'Male': 0.98490910030974, 'Female': 0.015090899690259965}",20-29,"{'0-2': 0.007913096551626234, '3-9': 0.002190704679587987, '10-19': 0.046306977332984736, '20-29': 0.4883285784636374, '30-39': 0.40881262057874196, '40-49': 0.04490695965504937, '50-59': 0.0013875173767783247, '60-69': 0.00015040316446874246, 'more than 70': 3.142197125208385e-06}",Up to 50,"{'Over 50': 0.0015410627383722754, 'Up to 50': 0.9984589372616277}",Up to 50
