,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
0,100000,0,Male,"{'Male': 0.9942619946316202, 'Female': 0.005738005368379736}",30-39,"{'0-2': 7.810311026983457e-05, '3-9': 8.455182380388825e-05, '10-19': 0.0015939522688560718, '20-29': 0.4659258671701823, '30-39': 0.5190381783831481, '40-49': 0.012714078628964561, '50-59': 0.00045908568554493226, '60-69': 0.00010589694036074521, 'more than 70': 2.859888693828947e-07}",Up to 50,"{'Over 50': 0.0005652686147750604, 'Up to 50': 0.9994347313852248}",Up to 50
1,100010,0,Male,"{'Male': 0.9967857575508762, 'Female': 0.0032142424491238457}",30-39,"{'0-2': 4.699213409946026e-05, '3-9': 4.416632263082041e-05, '10-19': 0.000442231899216257, '20-29': 0.1426251438560415, '30-39': 0.7441731453543698, '40-49': 0.09685596417719355, '50-59': 0.012459818913215117, '60-69': 0.0033441142835856238, 'more than 70': 8.423059647864976e-06}",Up to 50,"{'Over 50': 0.015812356256448605, 'Up to 50': 0.9841876437435515}",Up to 50
2,100225,0,Male,"{'Male': 0.9962768107784519, 'Female': 0.003723189221548098}",20-29,"{'0-2': 0.0007081172077824466, '3-9': 0.0016669053643949422, '10-19': 0.1876171836102221, '20-29': 0.5050427794000621, '30-39': 0.242279387716584, '40-49': 0.05050757705461661, '50-59': 0.010052940562316811, '60-69': 0.0021157917755752747, 'more than 70': 9.317308445694649e-06}",Up to 50,"{'Over 50': 0.01217804964633778, 'Up to 50': 0.9878219503536622}",Up to 50
3,100240,0,Male,"{'Male': 0.996059458646095, 'Female': 0.003940541353904993}",10-19,"{'0-2': 0.00014402749938770753, '3-9': 0.005800372311100859, '10-19': 0.521134824423503, '20-29': 0.41512468287972093, '30-39': 0.055582717040239475, '40-49': 0.0020204153864276774, '50-59': 0.00017749056810877924, '60-69': 1.538962305676942e-05, 'more than 70': 8.026845479187437e-08}",Up to 50,"{'Over 50': 0.00019296045962034053, 'Up to 50': 0.9998070395403796}",Up to 50
4,100250,0,Male,"{'Male': 0.9937359435724757, 'Female': 0.006264056427524283}",20-29,"{'0-2': 0.00013891359919521417, '3-9': 0.002966619076466332, '10-19': 0.18841483975549916, '20-29': 0.6256824742451036, '30-39': 0.1737368940378847, '40-49': 0.008523287442841879, '50-59': 0.0003577864317315273, '60-69': 0.00017538658276547637, 'more than 70': 3.798828512097289e-06}",Up to 50,"{'Over 50': 0.000536971843009101, 'Up to 50': 0.999463028156991}",Up to 50
5,100290,0,Male,"{'Male': 0.9969265802387793, 'Female': 0.0030734197612207045}",20-29,"{'0-2': 0.00012848837929207725, '3-9': 0.0005345607733848748, '10-19': 0.13419390866104536, '20-29': 0.6536199095506385, '30-39': 0.19102677757847994, '40-49': 0.017444676146968752, '50-59': 0.0021883583680771595, '60-69': 0.0008612832384358258, 'more than 70': 2.037303677538101e-06}",Up to 50,"{'Over 50': 0.0030516789101905236, 'Up to 50': 0.9969483210898096}",Up to 50
6,100295,0,Male,"{'Male': 0.9916017717071881, 'Female': 0.008398228292811926}",20-29,"{'0-2': 0.0011459405820935255, '3-9': 0.0022092193428698967, '10-19': 0.3253363943454886, '20-29': 0.5410342488000546, '30-39': 0.11269753324727817, '40-49': 0.015480846534779073, '50-59': 0.0017722879370214027, '60-69': 0.0003227531535293332, 'more than 70': 7.76056885490345e-07}",Up to 50,"{'Over 50': 0.0020958171474362262, 'Up to 50': 0.9979041828525639}",Up to 50
7,100300,0,Male,"{'Male': 0.9974165445382412, 'Female': 0.0025834554617587113}",10-19,"{'0-2': 8.891099193095422e-05, '3-9': 0.0039873987991520575, '10-19': 0.5577858524950581, '20-29': 0.41097105151304714, '30-39': 0.02616508818155847, '40-49': 0.0009566019899941428, '50-59': 3.991228094340356e-05, '60-69': 5.163780008761671e-06, 'more than 70': 1.9968306989069833e-08}",Up to 50,"{'Over 50': 4.50960292591543e-05, 'Up to 50': 0.9999549039707408}",Up to 50
8,100305,0,Male,"{'Male': 0.9972048938700961, 'Female': 0.002795106129903895}",10-19,"{'0-2': 0.00011567967545393034, '3-9': 0.0026904676006166413, '10-19': 0.5476660464019003, '20-29': 0.4138139743416314, '30-39': 0.03446834075178528, '40-49': 0.0011864774862948618, '50-59': 5.103351425069552e-05, '60-69': 7.917623557670307e-06, 'more than 70': 6.260450917282305e-08}",Up to 50,"{'Over 50': 5.901374231753865e-05, 'Up to 50': 0.9999409862576824}",Up to 50
9,100310,0,Male,"{'Male': 0.9978896137378493, 'Female': 0.0021103862621506242}",10-19,"{'0-2': 7.958287581006635e-06, '3-9': 0.0010491802799000337, '10-19': 0.6051220236422693, '20-29': 0.38331583099005095, '30-39': 0.010294253736368619, '40-49': 0.00020557372012472438, '50-59': 4.936776037159402e-06, '60-69': 2.4168491771215367e-07, 'more than 70': 8.827505004318456e-10}",Up to 50,"{'Over 50': 5.179343705371988e-06, 'Up to 50': 0.9999948206562946}",Up to 50
10,100315,0,Male,"{'Male': 0.9942708612108327, 'Female': 0.00572913878916721}",20-29,"{'0-2': 6.140771999794809e-05, '3-9': 0.0006658842052041484, '10-19': 0.21671469941074029, '20-29': 0.7002030753602434, '30-39': 0.07965727994257665, '40-49': 0.0025649858259089043, '50-59': 0.00012142484916618166, '60-69': 1.1195869672462155e-05, 'more than 70': 4.6816489910328637e-08}",Up to 50,"{'Over 50': 0.00013266753532855413, 'Up to 50': 0.9998673324646713}",Up to 50
11,100330,0,Male,"{'Male': 0.9968507093348501, 'Female': 0.0031492906651499493}",20-29,"{'0-2': 6.415230687588595e-05, '3-9': 0.0011493836934622834, '10-19': 0.2100653995823279, '20-29': 0.698091915867635, '30-39': 0.08714299054331737, '40-49': 0.0033594800107590805, '50-59': 0.00011471198865600898, '60-69': 1.195414805663404e-05, 'more than 70': 1.1858910002087182e-08}",Up to 50,"{'Over 50': 0.0001266779956226451, 'Up to 50': 0.9998733220043774}",Up to 50
12,100335,0,Male,"{'Male': 0.9965352943548805, 'Female': 0.003464705645119458}",20-29,"{'0-2': 0.00017368191311191536, '3-9': 0.0015297241440743541, '10-19': 0.15623275138991, '20-29': 0.66775871620788, '30-39': 0.16341448874934414, '40-49': 0.009718741244140721, '50-59': 0.0009941796176303067, '60-69': 0.0001776127301831185, 'more than 70': 1.0400372537317525e-07}",Up to 50,"{'Over 50': 0.0011718963515387985, 'Up to 50': 0.9988281036484612}",Up to 50
13,100340,0,Male,"{'Male': 0.9937610484004913, 'Female': 0.006238951599508738}",20-29,"{'0-2': 1.6227710734411983e-05, '3-9': 0.001075820849454206, '10-19': 0.24965655599802056, '20-29': 0.6778640347853433, '30-39': 0.06971720141142489, '40-49': 0.0016190307037658948, '50-59': 4.63785323804659e-05, '60-69': 4.746266061021112e-06, 'more than 70': 3.742815279686952e-09}",Up to 50,"{'Over 50': 5.11285412567667e-05, 'Up to 50': 0.9999488714587433}",Up to 50
14,100345,0,Male,"{'Male': 0.9902133637968689, 'Female': 0.009786636203131133}",10-19,"{'0-2': 9.736414109764539e-05, '3-9': 0.0028016166602411368, '10-19': 0.4830180073562617, '20-29': 0.4593666923282634, '30-39': 0.05171661311597485, '40-49': 0.0027729547903765877, '50-59': 0.00018832330600422376, '60-69': 3.835068741267193e-05, 'more than 70': 7.761436782145286e-08}",Up to 50,"{'Over 50': 0.00022675160778471714, 'Up to 50': 0.9997732483922153}",Up to 50
